,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
6960,-118.05,33.99,42,2480,401.0,1085,438,5.193,263400,<1H OCEAN
3433,-118.42,34.25,37,1545,341.0,1909,352,3.6791,148100,<1H OCEAN
9637,-120.77,37.01,28,1689,378.0,1057,267,3.125,156300,INLAND
5869,-118.35,34.18,46,1840,379.0,866,360,3.3056,230400,<1H OCEAN
4233,-118.3,34.11,25,1590,218.0,568,206,8.4389,500001,<1H OCEAN
10199,-117.93,33.87,10,1277,488.0,730,417,1.4803,137500,<1H OCEAN
13804,-117.55,34.25,39,1578,317.0,872,322,4.555,153100,INLAND
378,-122.17,37.74,34,1223,281.0,824,280,2.2917,92500,NEAR BAY
13309,-117.61,34.09,23,1945,362.0,1483,383,4.4205,135500,INLAND
13036,-121.17,38.68,37,1252,267.0,686,256,3.0,121900,INLAND
16847,-122.41,37.61,46,2975,643.0,1479,577,3.8214,273600,NEAR OCEAN
3464,-118.46,34.3,32,2424,476.0,2291,419,4.0337,158500,<1H OCEAN
19158,-122.7,38.35,16,1328,187.0,607,197,5.0366,257800,<1H OCEAN
577,-122.06,37.73,5,3596,467.0,1738,512,7.0568,412500,NEAR BAY
19044,-121.81,38.45,24,1951,341.0,1140,338,3.7061,128500,INLAND
13243,-117.65,34.14,9,3877,490.0,1815,490,8.4839,406700,INLAND
16030,-122.45,37.72,52,982,197.0,653,171,4.2167,231900,NEAR BAY
18686,-121.76,37.0,21,1416,269.0,779,200,3.1987,279800,<1H OCEAN
16797,-122.44,37.66,21,5108,1510.0,3288,1405,3.1927,252600,NEAR OCEAN
11188,-117.93,33.83,32,1792,411.0,1131,381,2.4942,186300,<1H OCEAN
5867,-118.36,34.19,46,1676,322.0,846,295,5.1814,209500,<1H OCEAN
168,-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000,NEAR BAY
15073,-116.99,32.8,34,3657,538.0,1513,562,5.2907,195800,<1H OCEAN
18548,-122.02,36.97,39,2124,661.0,1365,606,1.6642,281300,NEAR OCEAN
11053,-117.85,33.78,23,3187,870.0,1977,852,3.3939,212100,<1H OCEAN
1668,-122.2,37.96,9,6306,962.0,2581,911,6.7741,310700,NEAR BAY
18704,-122.38,40.56,23,2281,408.0,1164,420,3.5347,101200,INLAND
15116,-117.0,32.85,24,1888,319.0,950,319,5.282,140800,<1H OCEAN
14679,-117.1,32.83,16,1049,154.0,467,160,6.2047,248100,<1H OCEAN
8210,-118.18,33.78,36,1697,550.0,1379,434,1.2746,129700,NEAR OCEAN
10995,-117.82,33.73,27,1270,258.0,809,264,5.0162,223000,<1H OCEAN
17434,-120.46,34.63,48,1408,301.0,682,279,2.9271,146600,NEAR OCEAN
19979,-118.73,36.01,14,3263,651.0,1910,594,2.8603,128900,INLAND
2318,-119.7,36.83,23,3532,756.0,1885,758,2.5904,71400,INLAND
4657,-118.32,34.05,50,1389,364.0,976,302,1.5882,327300,<1H OCEAN
19845,-119.1,36.4,31,1533,361.0,1518,386,1.5608,51700,INLAND
7662,-118.22,33.83,44,1792,404.0,1115,358,3.9091,174400,<1H OCEAN
9677,-118.98,37.65,18,1795,416.0,483,208,4.5375,169800,INLAND
19358,-123.02,38.81,45,1717,389.0,916,367,3.2425,138800,<1H OCEAN
18206,-122.06,37.38,20,4293,1272.0,2389,1210,4.2719,270800,NEAR BAY
435,-122.3,37.88,45,453,146.0,749,137,1.475,187500,NEAR BAY
1152,-121.54,39.6,15,886,204.0,576,205,2.1467,84100,INLAND
12623,-121.53,38.48,5,27870,5027.0,11935,4855,4.8811,212200,INLAND
5152,-118.26,33.95,38,1387,346.0,1240,355,1.6898,95100,<1H OCEAN
5984,-117.73,34.12,26,6459,894.0,2487,885,6.2089,261800,INLAND
18179,-122.0,37.36,17,6012,1737.0,3539,1625,3.8464,239400,<1H OCEAN
2754,-115.49,32.67,24,1266,275.0,1083,298,1.4828,73100,INLAND
4402,-118.28,34.09,49,3828,1197.0,2862,1009,2.4677,219200,<1H OCEAN
8650,-118.39,33.86,28,3619,764.0,1735,789,6.1404,368400,<1H OCEAN
13749,-117.15,34.06,25,3670,644.0,1815,634,4.0658,127400,INLAND
1705,-122.29,37.94,20,7578,1426.0,3637,1362,4.4387,190000,NEAR BAY
3911,-118.55,34.2,21,2549,651.0,1624,628,3.6905,179800,<1H OCEAN
7745,-118.15,33.93,42,1839,346.0,1034,339,4.9808,212300,<1H OCEAN
16406,-121.18,37.99,31,2450,559.0,1459,478,2.4674,130900,INLAND
174,-122.24,37.8,52,996,228.0,731,228,2.2697,127000,NEAR BAY
12424,-116.11,33.64,20,1273,354.0,1548,355,2.0871,84700,INLAND
4849,-118.31,34.02,52,1832,441.0,1186,420,1.2434,98400,<1H OCEAN
5276,-118.55,33.99,39,2603,456.0,928,410,7.9096,500001,NEAR OCEAN
13079,-121.34,38.55,11,2838,498.0,1701,504,4.1447,114000,INLAND
19623,-121.09,37.33,40,524,112.0,329,96,1.7188,112500,INLAND
7238,-118.13,34.01,40,2412,629.0,2119,600,2.075,151100,<1H OCEAN
18880,-122.26,38.1,30,3317,1058.0,1794,990,1.1835,133300,NEAR BAY
1863,-123.91,41.68,22,1880,360.0,743,314,2.9688,152700,<1H OCEAN
11208,-117.91,33.83,32,1855,527.0,2568,504,2.5509,170800,<1H OCEAN
14405,-117.28,32.77,38,1267,340.0,442,250,4.3403,500000,NEAR OCEAN
7494,-118.24,33.92,44,1079,210.0,601,182,2.2411,106400,<1H OCEAN
9021,-118.75,34.17,16,2950,387.0,1228,379,5.3749,346100,NEAR OCEAN
3191,-119.81,36.28,24,544,112.0,442,106,3.1071,56100,INLAND
20631,-121.4,39.33,15,2655,493.0,1200,432,3.5179,107200,INLAND
6500,-118.04,34.07,52,177,59.0,269,75,2.3611,131300,<1H OCEAN
5986,-117.71,34.1,52,567,152.0,2688,126,1.875,212500,INLAND
7960,-118.18,33.88,42,2326,503.0,1832,501,3.1713,161000,<1H OCEAN
8606,-118.36,33.87,22,2114,541.0,1300,538,3.4208,290000,<1H OCEAN
6502,-118.05,34.08,25,4909,1422.0,4983,1293,2.7254,143500,<1H OCEAN
16301,-121.36,38.0,17,4535,762.0,1562,743,5.3224,225800,INLAND
11003,-117.8,33.74,33,2890,453.0,1300,452,6.5616,290200,<1H OCEAN
16195,-121.31,37.96,52,2654,468.0,1157,494,3.226,107600,INLAND
13829,-117.26,34.53,10,3103,520.0,1283,464,3.071,151600,INLAND
4955,-118.31,34.01,48,2544,532.0,1357,498,2.5263,121000,<1H OCEAN
10578,-117.69,33.64,18,3783,654.0,1843,623,5.7559,215800,<1H OCEAN
19770,-122.12,39.91,16,4006,797.0,2028,752,2.3929,77200,INLAND
7006,-118.07,33.98,32,3304,714.0,2032,690,3.2093,167800,<1H OCEAN
17721,-121.79,37.33,13,2978,505.0,1794,485,6.6813,277800,<1H OCEAN
6690,-118.08,34.14,52,1282,189.0,431,187,6.1159,470800,INLAND
12242,-116.97,33.75,22,3740,965.0,2011,824,1.3039,77500,INLAND
17862,-121.9,37.45,16,2952,446.0,1525,460,5.6063,320500,<1H OCEAN
9605,-120.46,37.31,35,2042,378.0,953,356,2.7344,87800,INLAND
18732,-122.41,40.53,28,1127,245.0,538,208,2.037,72000,INLAND
3417,-118.42,34.28,29,1271,272.0,1338,266,4.125,150000,<1H OCEAN
19731,-122.1,40.05,26,633,129.0,305,140,2.1827,72700,INLAND
6957,-118.06,33.98,38,1862,319.0,975,305,4.7266,177600,<1H OCEAN
9995,-121.03,39.14,10,3138,524.0,1275,511,4.0775,164500,INLAND
2125,-119.71,36.79,34,1891,323.0,966,355,3.6681,82000,INLAND
13219,-117.69,34.0,28,707,154.0,561,129,2.5781,111600,INLAND
854,-122.01,37.59,2,838,295.0,240,149,2.875,237500,NEAR BAY
2763,-115.88,32.93,15,208,49.0,51,20,4.0208,32500,INLAND
19719,-121.74,39.15,20,2302,412.0,1205,399,2.8,71200,INLAND
13579,-117.3,34.13,52,1859,395.0,968,333,1.2034,79500,INLAND
11136,-117.95,33.85,13,6963,1426.0,3892,1375,4.1325,203500,<1H OCEAN
1796,-122.35,37.93,39,2002,416.0,1166,395,1.7257,91500,NEAR BAY
9544,-120.72,37.38,22,1311,319.0,1455,340,2.2813,67300,INLAND
19604,-121.09,37.56,32,1717,325.0,1356,307,2.6705,91900,INLAND
20104,-120.33,37.97,17,2530,526.0,1024,496,2.0057,118900,INLAND
12101,-117.34,33.94,13,7910,,3382,1176,5.5563,214500,INLAND
17465,-119.91,34.4,24,2001,365.0,1170,330,6.0992,268800,NEAR OCEAN
20608,-121.59,39.1,24,1107,261.0,768,205,1.7167,48800,INLAND
2258,-119.83,36.79,35,1872,363.0,1054,369,3.3272,65600,INLAND
15086,-116.92,32.81,23,2668,528.0,1510,524,3.3669,158900,<1H OCEAN
17633,-121.93,37.27,35,1855,345.0,985,329,6.0196,255100,<1H OCEAN
5304,-118.46,34.07,49,2418,301.0,850,318,14.2867,500001,<1H OCEAN
19530,-120.98,37.64,45,1913,335.0,839,333,3.1397,110700,INLAND
1005,-121.76,37.7,9,3980,736.0,1705,679,5.7068,256700,INLAND
750,-122.06,37.67,22,3882,816.0,1830,743,4.2733,180700,NEAR BAY
19306,-122.77,38.33,32,2054,324.0,843,306,4.5875,290700,<1H OCEAN
13707,-117.21,34.12,32,1677,354.0,1021,339,3.6853,90900,INLAND
13234,-117.66,34.14,8,1692,253.0,857,251,6.9418,310500,INLAND
9634,-120.89,37.21,25,3301,678.0,994,306,3.2262,97200,INLAND
17342,-120.4,34.85,26,2384,385.0,1323,400,4.8185,157900,<1H OCEAN
8526,-118.33,33.89,42,1816,338.0,897,306,5.1874,230800,<1H OCEAN
17660,-121.89,37.28,32,4308,717.0,2002,695,4.1645,281900,<1H OCEAN
8532,-118.35,33.89,29,2940,708.0,2175,684,3.6486,229000,<1H OCEAN
3340,-122.66,38.81,22,852,176.0,461,142,3.4375,83300,INLAND
10682,-117.76,33.53,24,2105,346.0,712,332,10.6349,500001,<1H OCEAN
10935,-117.9,33.74,25,808,163.0,1066,189,4.7679,173100,<1H OCEAN
8507,-118.3,33.88,35,3227,749.0,1881,696,2.8445,242100,<1H OCEAN
3087,-118.87,35.65,33,1504,325.0,584,223,3.4792,94600,INLAND
19879,-119.28,36.35,7,3598,701.0,2080,678,3.1111,72400,INLAND
15250,-117.31,32.98,17,2789,648.0,849,345,4.1012,244700,NEAR OCEAN
17466,-119.83,34.45,24,2168,373.0,934,366,5.4197,280900,NEAR OCEAN
16254,-121.26,37.98,41,1633,433.0,885,413,0.9782,54200,INLAND
9913,-122.3,38.3,44,3690,809.0,1922,736,2.6346,139800,NEAR BAY
8683,-118.34,33.88,31,3122,727.0,1885,715,3.8657,298400,<1H OCEAN
14666,-117.13,32.8,35,2129,382.0,1044,350,3.9732,174900,NEAR OCEAN
12017,-117.5,33.92,31,2529,513.0,1504,426,2.9821,115600,INLAND
4545,-118.2,34.02,48,2230,593.0,2419,598,2.3944,130700,<1H OCEAN
5126,-118.28,33.99,38,1454,323.0,1098,297,1.5109,104000,<1H OCEAN
1644,-121.94,37.83,11,2836,373.0,959,335,10.5815,500001,INLAND
227,-122.19,37.8,48,1694,259.0,610,238,4.744,257300,NEAR BAY
7593,-118.25,33.9,37,2119,442.0,1372,406,1.9605,106200,<1H OCEAN
5614,-118.25,33.79,38,1730,460.0,1724,424,2.7308,150400,NEAR OCEAN
11736,-121.06,38.88,17,7635,1284.0,3096,1227,4.2917,184300,INLAND
2526,-122.19,39.53,34,2679,533.0,1287,505,2.165,58700,INLAND
14567,-117.2,32.83,36,1089,240.0,623,226,2.5909,176000,NEAR OCEAN
11051,-117.86,33.79,31,3523,922.0,2660,949,3.1792,146400,<1H OCEAN
2609,-124.01,40.89,28,1470,336.0,811,314,2.4559,75600,<1H OCEAN
17317,-120.2,34.61,15,2958,690.0,1348,617,3.8582,215200,NEAR OCEAN
19545,-120.97,37.63,39,2360,607.0,2047,605,1.7054,58800,INLAND
18483,-121.62,37.09,37,1593,303.0,1030,287,3.9306,260700,<1H OCEAN
14596,-117.17,32.81,26,2424,388.0,974,375,4.739,184100,NEAR OCEAN
14100,-117.09,32.76,31,1235,387.0,816,397,1.5517,122500,NEAR OCEAN
157,-122.24,37.81,52,1490,238.0,634,256,6.0302,287300,NEAR BAY
12734,-121.34,38.58,18,1631,228.0,599,228,7.8031,267200,INLAND
4875,-118.28,34.03,26,2107,809.0,2821,572,0.844,350000,<1H OCEAN
17847,-121.88,37.41,23,3224,652.0,2183,655,4.3807,226900,<1H OCEAN
15529,-117.11,33.15,14,8374,1407.0,2916,1295,4.7019,191100,<1H OCEAN
5040,-118.32,33.98,44,1448,314.0,861,310,2.2396,108600,<1H OCEAN
18085,-122.05,37.31,25,4601,696.0,2003,666,8.0727,455500,<1H OCEAN
9933,-122.3,38.28,31,1633,316.0,944,300,3.3977,158700,NEAR BAY
12773,-121.43,38.62,36,1765,438.0,1008,382,2.0639,73000,INLAND
9454,-123.23,39.77,25,2075,435.0,991,377,1.2281,60300,INLAND
12259,-116.95,33.79,20,2399,546.0,1726,542,1.8845,77700,INLAND
19428,-121.01,37.7,12,9148,1906.0,4656,1853,3.2447,142200,INLAND
13116,-121.2,38.36,14,2634,463.0,1402,432,3.8897,175700,INLAND
7750,-118.15,33.92,40,1335,281.0,804,282,4.3194,198400,<1H OCEAN
18244,-122.08,37.39,44,1498,430.0,848,400,2.8438,307100,NEAR BAY
16292,-121.24,37.96,37,1175,260.0,951,267,2.875,57700,INLAND
11567,-118.02,33.77,33,2683,436.0,1520,456,5.0091,211500,<1H OCEAN
16440,-121.3,38.14,17,3507,696.0,1867,709,3.2123,120700,INLAND
4939,-118.27,33.99,30,504,140.0,529,123,1.9531,100000,<1H OCEAN
9437,-119.95,37.47,32,1312,315.0,600,265,1.5,91500,INLAND
18961,-122.04,38.25,52,582,131.0,241,106,2.4,125000,INLAND
17816,-121.84,37.4,25,1866,271.0,840,275,6.8677,288500,<1H OCEAN
10217,-117.91,33.87,52,2031,506.0,1191,463,2.9076,177300,<1H OCEAN
10201,-117.94,33.88,35,1694,296.0,679,282,4.3333,239300,<1H OCEAN
3079,-119.01,35.44,20,3458,651.0,1465,621,2.5806,82500,INLAND
1155,-121.44,39.5,26,1652,325.0,790,292,3.0446,90800,INLAND
19760,-122.25,40.15,15,1677,346.0,858,327,2.4375,59200,INLAND
8041,-118.16,33.84,36,2444,432.0,1199,424,4.1538,218800,<1H OCEAN
8496,-118.3,33.89,37,2132,565.0,1369,565,3.285,218100,<1H OCEAN
10452,-117.66,33.46,26,2073,370.0,952,340,5.0877,288100,<1H OCEAN
4239,-118.32,34.11,42,2462,543.0,857,482,4.0833,434400,<1H OCEAN
19195,-122.68,38.44,36,1311,259.0,648,268,3.4545,161200,<1H OCEAN
1084,-121.84,39.73,52,957,263.0,513,223,1.3672,55000,INLAND
16276,-121.26,37.93,33,2109,531.0,2248,588,1.4583,53000,INLAND
4487,-118.19,34.05,46,1051,302.0,1435,305,1.6667,133600,<1H OCEAN
6026,-117.74,34.07,42,2504,553.0,1550,509,3.0294,135700,INLAND
19682,-121.62,39.15,23,1984,528.0,1043,452,1.9375,65300,INLAND
2855,-118.92,35.38,33,3122,579.0,1733,545,3.8307,70600,INLAND
19279,-122.72,38.42,26,1168,253.0,937,248,1.9458,146000,<1H OCEAN
18978,-122.01,38.25,16,1081,181.0,792,184,4.6779,131300,INLAND
8069,-118.18,33.83,39,3622,745.0,1330,648,3.3125,425500,NEAR OCEAN
17201,-119.78,34.45,23,2077,306.0,705,256,6.4744,500001,NEAR OCEAN
4300,-118.29,34.09,35,2624,1116.0,3548,1008,2.0132,198400,<1H OCEAN
16148,-122.47,37.78,52,2042,378.0,1153,408,4.1856,404700,NEAR BAY
1783,-122.36,37.94,26,1540,343.0,1007,338,1.3365,72900,NEAR BAY
10491,-117.68,33.51,19,2930,428.0,1481,430,6.323,480800,<1H OCEAN
10421,-117.61,33.42,31,3959,856.0,1919,775,4.0313,282000,NEAR OCEAN
971,-121.9,37.67,15,2130,273.0,876,285,7.2639,332400,<1H OCEAN
8285,-118.14,33.77,51,2812,621.0,1171,566,3.875,342900,NEAR OCEAN
15792,-122.42,37.77,52,1176,493.0,1136,436,1.375,312500,NEAR BAY
7241,-118.12,34.0,31,3281,768.0,2385,733,2.7308,173800,<1H OCEAN
12461,-121.43,38.58,35,5298,954.0,1933,918,3.9167,155700,INLAND
7357,-118.17,33.96,25,3297,1066.0,5027,1041,2.2817,164200,<1H OCEAN
645,-122.13,37.72,26,2862,394.0,1030,397,7.912,367300,NEAR BAY
5096,-118.3,33.97,42,944,200.0,567,190,2.6311,124100,<1H OCEAN
17846,-121.87,37.41,24,3308,548.0,1891,544,5.6683,248700,<1H OCEAN
9504,-123.36,39.01,35,1551,321.0,857,288,2.7232,115400,<1H OCEAN
15652,-122.41,37.8,52,3260,1535.0,3260,1457,0.9,500001,NEAR BAY
18509,-121.99,36.99,29,3119,507.0,1476,487,5.8123,281500,NEAR OCEAN
2815,-119.05,35.42,35,2353,483.0,1368,455,2.325,63200,INLAND
13960,-116.9,34.25,16,3018,523.0,556,244,3.5288,189700,INLAND
8993,-118.35,33.99,48,2741,439.0,1115,459,5.0514,269100,<1H OCEAN
18556,-122.04,36.95,36,1862,364.0,1080,364,4.4567,263800,NEAR OCEAN
18541,-122.01,36.95,52,1217,325.0,508,237,2.0547,326700,NEAR OCEAN
1489,-122.02,37.95,25,1205,260.0,608,272,2.4519,208300,NEAR BAY
7889,-118.05,33.87,18,4928,773.0,2952,754,5.8855,313800,<1H OCEAN
15060,-116.93,32.79,19,3354,,1948,682,3.0192,142300,<1H OCEAN
13705,-117.22,34.12,30,2512,597.0,1390,523,2.3725,77200,INLAND
2262,-119.83,36.79,24,3505,819.0,2098,774,1.9575,67000,INLAND
5117,-118.28,33.96,34,2074,562.0,1913,514,1.6156,102100,<1H OCEAN
2325,-119.71,36.82,12,2144,568.0,1320,566,2.3381,112500,INLAND
5141,-118.27,33.96,38,977,295.0,1073,292,1.0208,86400,<1H OCEAN
7601,-118.26,33.89,36,2230,417.0,1395,381,2.8493,109600,<1H OCEAN
16076,-122.48,37.74,52,2166,423.0,1072,370,4.131,314300,NEAR OCEAN
6745,-118.08,34.12,34,2921,641.0,1541,562,3.6827,264100,<1H OCEAN
11247,-118.0,33.81,13,2782,605.0,1749,628,4.1276,153800,<1H OCEAN
7312,-118.2,33.98,43,1091,320.0,1418,316,2.1522,159400,<1H OCEAN
4961,-118.3,34.01,52,1908,428.0,1271,394,2.5885,136200,<1H OCEAN
15770,-122.44,37.76,38,2202,452.0,833,435,6.8939,455900,NEAR BAY
10800,-117.94,33.62,28,1765,390.0,832,349,6.5928,439100,<1H OCEAN
12596,-121.48,38.53,43,1378,280.0,708,280,2.3542,103900,INLAND
13557,-117.32,34.1,27,2053,461.0,1737,463,3.1213,78800,INLAND
1596,-122.1,37.89,21,3282,653.0,1398,601,5.2079,310300,NEAR BAY
10103,-117.97,33.92,24,2017,416.0,900,436,3.0,251400,<1H OCEAN
4642,-118.3,34.06,21,3960,1490.0,3468,1335,1.8214,475000,<1H OCEAN
10871,-117.91,33.72,32,2436,504.0,2839,516,4.5607,182100,<1H OCEAN
4776,-118.33,34.04,33,1806,444.0,1161,393,2.5927,161500,<1H OCEAN
12557,-121.47,38.55,52,1384,295.0,561,244,2.0242,94600,INLAND
10619,-117.82,33.68,3,3068,494.0,1357,486,7.9187,333600,<1H OCEAN
11190,-117.94,33.82,29,1422,409.0,1057,390,2.3347,208100,<1H OCEAN
465,-122.28,37.86,52,938,195.0,393,189,3.8594,196400,NEAR BAY
10430,-117.64,33.45,27,334,56.0,130,46,4.875,284100,NEAR OCEAN
1243,-122.13,39.0,23,3832,774.0,2435,747,2.2754,59200,INLAND
3804,-118.44,34.2,28,1732,435.0,1198,417,2.9219,241300,<1H OCEAN
2363,-119.58,36.77,19,3225,548.0,1760,542,4.0227,126500,INLAND
5062,-118.28,33.99,37,1971,513.0,1673,464,1.4625,103000,<1H OCEAN
12682,-121.4,38.55,26,2697,398.0,1088,389,5.0,142500,INLAND
7658,-118.21,33.84,28,822,205.0,627,192,3.4583,166300,<1H OCEAN
2925,-119.01,35.36,38,1838,388.0,1203,373,1.6797,60700,INLAND
13350,-117.63,34.02,13,4864,729.0,2780,723,5.6168,175400,INLAND
8239,-118.18,33.77,36,1833,688.0,1128,620,1.1483,112500,NEAR OCEAN
4788,-118.32,34.02,51,2010,460.0,1355,433,2.0304,133400,<1H OCEAN
12599,-121.49,38.53,42,1468,281.0,571,271,3.3906,124200,INLAND
20066,-120.39,38.0,33,2177,404.0,891,383,3.212,105200,INLAND
4498,-118.21,34.05,26,745,258.0,694,236,1.3846,129200,<1H OCEAN
7415,-118.22,33.94,42,1046,287.0,1218,289,2.6538,143400,<1H OCEAN
7555,-118.19,33.91,33,915,225.0,826,212,2.7708,117400,<1H OCEAN
8974,-118.41,34.01,26,2503,449.0,1218,426,5.3683,500001,<1H OCEAN
6701,-118.12,34.14,25,3420,977.0,1718,947,3.1033,217900,<1H OCEAN
16919,-122.34,37.57,28,3751,949.0,1691,846,3.9728,300000,NEAR OCEAN
19071,-122.53,38.32,22,3577,,1371,501,5.795,332300,<1H OCEAN
9765,-121.62,36.43,20,1335,290.0,717,243,4.7891,230600,<1H OCEAN
10893,-117.87,33.72,37,2216,497.0,2445,506,3.8421,174000,<1H OCEAN
16713,-120.69,35.52,26,2758,571.0,1291,522,2.925,181400,<1H OCEAN
984,-121.87,37.66,27,1569,242.0,583,214,5.7519,278500,INLAND
10473,-117.73,33.51,5,4549,786.0,1238,632,6.1785,295900,<1H OCEAN
17959,-121.99,37.33,35,1802,291.0,841,315,4.8365,313900,<1H OCEAN
18624,-122.01,37.06,19,4113,767.0,2006,732,5.1121,308100,NEAR OCEAN
9451,-119.64,37.61,30,2857,661.0,291,135,2.6838,164600,INLAND
14354,-117.23,32.75,23,2415,653.0,1275,596,3.1389,101800,NEAR OCEAN
14515,-117.16,32.89,5,8576,1952.0,5006,1827,4.3598,189100,<1H OCEAN
11564,-117.98,33.76,24,1880,405.0,967,418,4.4545,192500,<1H OCEAN
6748,-118.07,34.11,47,832,194.0,419,156,3.1576,225000,<1H OCEAN
15714,-122.45,37.78,45,2747,699.0,1320,693,3.1576,333300,NEAR BAY
18873,-122.22,38.08,37,2811,,1574,516,3.1053,96700,NEAR BAY
4921,-118.25,34.0,32,1218,342.0,1292,304,1.5781,102900,<1H OCEAN
18665,-121.96,36.99,23,3209,748.0,1423,666,2.7375,238000,NEAR OCEAN
3375,-118.28,34.25,35,2045,450.0,1166,407,3.5214,197600,<1H OCEAN
9191,-118.38,34.3,39,1622,355.0,903,314,4.1125,183000,<1H OCEAN
4359,-118.37,34.08,22,3008,938.0,1224,816,3.2149,300000,<1H OCEAN
12968,-121.33,38.7,15,2226,421.0,1004,417,2.7868,117800,INLAND
6693,-118.08,34.14,42,2690,589.0,1149,535,3.88,281100,INLAND
9944,-122.26,38.16,23,2840,491.0,1586,466,4.0337,130400,NEAR BAY
5910,-118.43,34.29,50,1181,265.0,1196,269,3.2095,167000,<1H OCEAN
15801,-122.44,37.76,30,5089,1210.0,1935,1139,4.6053,386100,NEAR BAY
19383,-120.86,37.77,28,1208,232.0,535,232,2.3523,94700,INLAND
11088,-117.89,33.82,21,1591,298.0,904,297,4.8906,179100,<1H OCEAN
12717,-121.37,38.6,36,1119,144.0,414,150,5.8336,283300,INLAND
7709,-118.14,33.95,42,1413,228.0,630,219,6.8564,300000,<1H OCEAN
758,-122.07,37.66,21,5031,1168.0,2461,1042,3.875,179300,NEAR BAY
9185,-118.56,34.41,4,17313,3224.0,6902,2707,5.6798,320900,<1H OCEAN
17662,-121.88,37.27,24,4567,688.0,2102,695,5.6895,289000,<1H OCEAN
258,-122.2,37.77,39,2689,597.0,1888,537,2.2562,94800,NEAR BAY
5876,-118.34,34.17,49,3033,580.0,1284,561,4.1161,232500,<1H OCEAN
16845,-122.43,37.61,21,10252,2595.0,4790,2428,4.1692,344500,NEAR OCEAN
11458,-117.99,33.68,13,4000,883.0,1999,881,4.7245,273600,<1H OCEAN
17523,-121.91,37.33,52,2212,563.0,1195,532,2.894,209500,<1H OCEAN
8678,-118.32,33.88,37,1402,254.0,722,251,6.4781,269000,<1H OCEAN
1419,-122.05,37.97,16,60,10.0,65,19,6.1359,250000,NEAR BAY
2512,-122.2,39.75,18,2603,576.0,1616,588,2.0192,63700,INLAND
9471,-123.85,39.42,11,1804,506.0,895,451,1.7574,150000,<1H OCEAN
20388,-118.9,34.2,16,6510,817.0,2304,778,7.9943,452100,<1H OCEAN
19594,-120.86,37.6,25,1178,206.0,709,214,4.5625,133600,INLAND
9980,-122.26,38.57,22,509,103.0,139,73,2.1979,152800,INLAND
8442,-118.36,33.9,42,1935,388.0,1136,379,4.74,230000,<1H OCEAN
12003,-117.57,33.9,7,3797,850.0,2369,720,3.5525,137600,INLAND
17233,-119.69,34.43,37,2801,497.0,1150,476,5.8311,387700,<1H OCEAN
9802,-121.92,36.56,39,2144,538.0,749,419,2.7039,364000,NEAR OCEAN
12810,-121.47,38.61,35,1372,360.0,850,328,1.6331,67500,INLAND
8846,-118.4,34.1,27,3979,510.0,1351,520,15.0001,500001,<1H OCEAN
2199,-119.87,36.83,4,4833,784.0,2088,789,5.1781,122500,INLAND
17367,-120.42,34.94,32,2844,551.0,1337,516,2.7188,133700,<1H OCEAN
16386,-121.27,38.05,26,378,75.0,164,65,3.4107,82800,INLAND
7994,-118.15,33.85,36,1435,249.0,606,234,4.1439,212600,<1H OCEAN
1637,-122.2,37.9,36,2107,287.0,740,280,10.3416,500001,NEAR BAY
8204,-118.16,33.78,14,1709,558.0,1939,520,1.9808,139100,NEAR OCEAN
16890,-122.38,37.59,49,1657,266.0,613,270,5.7837,378100,NEAR OCEAN
7541,-118.2,33.9,26,1000,275.0,1178,263,2.12,105000,<1H OCEAN
7529,-118.23,33.91,33,677,182.0,984,174,2.5893,88900,<1H OCEAN
12762,-121.4,38.63,31,1540,452.0,1079,444,1.8571,98700,INLAND
1647,-121.82,37.81,12,4711,659.0,2089,621,8.3209,485400,INLAND
4614,-118.29,34.08,43,3056,1345.0,3920,1304,1.925,300000,<1H OCEAN
4033,-118.55,34.17,36,2127,297.0,761,274,7.8392,500001,<1H OCEAN
11076,-117.85,33.81,32,1766,322.0,876,330,4.0417,234500,<1H OCEAN
11047,-117.83,33.81,28,1972,315.0,970,326,5.4298,234200,<1H OCEAN
16000,-122.47,37.74,52,1538,305.0,819,319,4.0846,333600,NEAR BAY
17313,-120.18,34.75,17,2074,382.0,1035,359,3.7958,400000,<1H OCEAN
15392,-116.99,33.2,17,2980,539.0,1531,505,3.1553,250000,<1H OCEAN
20544,-121.76,38.55,23,8800,1857.0,6330,1832,2.065,219400,INLAND
8609,-118.36,33.86,35,2126,434.0,1044,433,5.5456,297400,<1H OCEAN
3193,-119.72,36.32,40,1185,221.0,676,256,2.2721,52600,INLAND
14801,-117.12,32.59,28,2793,706.0,1825,676,2.6724,144500,NEAR OCEAN
16995,-122.26,37.54,5,3264,442.0,1607,453,9.1415,500001,NEAR BAY
13389,-117.58,34.1,4,6360,1584.0,3359,1396,3.5186,127800,INLAND
17112,-122.2,37.47,40,2959,389.0,985,365,9.9025,500001,NEAR BAY
13999,-116.9,34.69,10,337,102.0,108,50,0.4999,55000,INLAND
1921,-120.84,38.81,11,1280,286.0,609,248,3.1635,132600,INLAND
11888,-117.37,33.97,34,3676,697.0,2653,682,2.5804,92400,INLAND
14201,-117.02,32.71,30,3187,592.0,2082,631,3.5388,118500,NEAR OCEAN
